Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Sex,Age,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF,HBName,Year,Quarter_single
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,640,1352,2.1125,NA,657,1840,2.800608828,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,700,1176,1.68,NA,713,1506,2.112201964,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,737,1550,2.10312076,NA,750,1674,2.232,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,704,1356,1.926136364,NA,709,1904,2.685472496,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,631,1265,2.004754358,NA,641,1515,2.36349454,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,690,1358,1.968115942,NA,693,1710,2.467532468,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,611,1320,2.160392799,NA,621,1782,2.869565217,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,682,1178,1.727272727,NA,700,1577,2.252857143,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,604,1171,1.938741722,NA,613,1413,2.305057096,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,606,957,1.579207921,NA,623,1379,2.213483146,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,201,743,3.696517413,NA,197,1029,5.223350254,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,391,878,2.245524297,NA,395,1641,4.15443038,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,430,878,2.041860465,NA,434,1215,2.799539171,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,414,737,1.780193237,NA,416,1130,2.716346154,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,478,888,1.857740586,NA,477,1202,2.519916143,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,374,868,2.320855615,NA,379,971,2.562005277,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,325,664,2.043076923,NA,331,826,2.495468278,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,423,669,1.581560284,NA,430,992,2.306976744,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,419,783,1.868735084,NA,421,1004,2.3847981,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,432,843,1.951388889,NA,453,1084,2.392935982,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,0-9 years,438,798,1.821917808,NA,448,1136,2.535714286,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,693,1430,2.063492063,NA,700,1604,2.291428571,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,691,1338,1.936324168,NA,705,1545,2.191489362,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,753,1599,2.123505976,NA,762,1841,2.416010499,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,720,1547,2.148611111,NA,738,1673,2.266937669,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,623,1275,2.046548957,NA,640,1521,2.3765625,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,641,1405,2.191887676,NA,656,1768,2.695121951,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,608,1335,2.195723684,NA,610,1480,2.426229508,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,643,1328,2.065318818,NA,659,1628,2.470409712,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,541,1283,2.371534196,NA,550,1503,2.732727273,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,512,973,1.900390625,NA,519,1190,2.292870906,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,159,356,2.238993711,NA,162,500,3.086419753,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,314,675,2.149681529,NA,315,867,2.752380952,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,429,2769,6.454545455,NA,432,2949,6.826388889,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,342,874,2.555555556,NA,338,1035,3.062130178,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,441,866,1.963718821,NA,448,1235,2.756696429,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,376,875,2.32712766,NA,378,1020,2.698412698,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,387,545,1.408268734,NA,392,743,1.895408163,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,441,791,1.793650794,NA,442,904,2.045248869,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,392,812,2.071428571,NA,399,1099,2.754385965,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,445,904,2.031460674,NA,455,1040,2.285714286,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,10-19 years,453,966,2.132450331,NA,461,1101,2.388286334,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,754,1587,2.104774536,NA,761,2018,2.651773982,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,704,1158,1.644886364,NA,705,1428,2.025531915,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,812,1477,1.818965517,NA,817,1980,2.423500612,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,774,1327,1.714470284,NA,787,1780,2.261753494,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,717,1269,1.769874477,NA,729,2207,3.027434842,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,694,1394,2.008645533,NA,709,1682,2.37235543,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,759,1253,1.65085639,NA,770,1663,2.15974026,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,698,1092,1.564469914,NA,718,1738,2.420612813,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,662,1064,1.607250755,NA,668,1378,2.062874251,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,631,1279,2.026941363,NA,635,1571,2.474015748,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,200,400,2,NA,192,506,2.635416667,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,422,813,1.926540284,NA,423,1205,2.848699764,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,504,970,1.924603175,NA,520,1392,2.676923077,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,383,607,1.584856397,NA,387,950,2.454780362,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,475,1042,2.193684211,NA,484,1245,2.57231405,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,415,874,2.106024096,NA,417,1144,2.743405276,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,391,857,2.191815857,NA,393,1094,2.783715013,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,356,789,2.216292135,NA,362,1018,2.812154696,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,383,979,2.55613577,NA,389,1212,3.115681234,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,468,860,1.837606838,NA,469,1216,2.592750533,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,20-29 years,388,813,2.095360825,NA,390,1001,2.566666667,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,1061,2103,1.982092366,NA,1082,3146,2.907578558,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,1023,1796,1.755620723,NA,1025,2339,2.28195122,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,1162,2400,2.065404475,NA,1172,3004,2.563139932,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,1016,2331,2.294291339,NA,1023,2936,2.869990225,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,30-39 years,1057,2091,1.978240303,NA,1063,2928,2.754468485,NA,NA,2018,Q4
